date,prices,market_caps,total_volumes
2015-03-06,1.905812488469364,70585394.17744094,2141717.49453352
2015-03-07,1.91840954079214,71105473.62119067,1613022.6506972322
2015-03-08,1.899268276578846,70405502.7561956,1654613.7972086198
2015-03-09,1.929246312858236,71625399.2527914,3447327.0361888204
2015-03-10,2.001115495070417,74358858.35113509,12270475.95562973
2015-03-11,2.018303903512389,75015217.49181716,3928090.321694208
2015-03-12,2.048859636652662,76252007.52081333,6679854.348198577
2015-03-13,2.01346430826815,74992190.92781237,3361635.672883166
2015-03-14,1.993700340145327,74316085.31887148,2463776.7049925947
2015-03-15,2.01631756346645,75212484.18593943,2430171.7056570062
2015-03-16,2.024593714729743,75578293.92860764,3556330.6680427943
2015-03-17,1.981945561952846,74035584.3945308,6173121.268678159
2015-03-18,1.742885436460289,65146014.53691354,7459695.965769324
2015-03-19,1.770148621288688,66203211.48706716,8201938.8816238735
2015-03-20,1.770643100588115,66267918.70087314,2717099.9476028183
2015-03-21,1.750537240079927,65572768.79026892,2556179.05628368
2015-03-22,1.798819171772492,67442234.99295685,1657482.9686009164
2015-03-23,1.784530416860008,66961566.55560565,2163682.58392906
2015-03-24,1.675822527117544,62934348.63342049,4270237.660564695
2015-03-25,1.682257488333267,63229420.79839855,10292599.58444137
2015-03-26,1.692353684261405,63660006.04501281,4267835.397946627
2015-03-27,1.693272148819673,63743490.80622751,2201342.643746196
2015-03-28,1.697460005523149,63910309.60078962,1810081.7139742908
2015-03-29,1.654115574567507,62278367.76249495,2059073.1549516325
2015-03-30,1.674987795233544,63064218.43378149,2089452.908950756
2015-03-31,1.64729324850517,62021503.406679325,1751160.3098238509
2015-04-01,1.661678819067234,62794932.303207,1842170.6577926725
2015-04-02,1.681786431857449,63599787.86341251,2105392.321594067
2015-04-03,1.686222400304109,63821416.81839975,1948778.2506104773
2015-04-04,1.678905688271894,63592253.25143494,1027506.5460739884
2015-04-05,1.69787813831882,64360709.33560182,1901700.004900175
2015-04-06,1.677493961663796,63634817.52401304,2178177.0455591856
2015-04-07,1.669444598700746,63351839.892584495,1308698.8529669188
2015-04-08,1.624886681653953,61736926.01431601,2834604.344944317
2015-04-09,1.57996882575741,60073502.01438226,3205111.701164753
2015-04-10,1.514315134448645,57612579.64189957,3465814.918608185
2015-04-11,1.454442820265241,55334719.24760845,3735377.2379654953
2015-04-12,1.469424279668396,55904693.42496514,3408134.1157242483
2015-04-13,1.375899492302822,52472340.46667761,3533103.3022192414
2015-04-14,1.375000583316742,52474290.26117749,4352576.036572466
2015-04-15,1.378522647625421,52651850.92655497,5939108.430539219
2015-04-16,1.411426491449519,53949877.85560037,4050045.340867223
2015-04-17,1.413930735865334,54084906.50213897,3224994.751183576
2015-04-18,1.407584099015562,53880917.35655309,1786879.9217299393
2015-04-19,1.393938258257139,53394113.58916362,2299688.689966014
2015-04-20,1.404821524922383,53858966.37575162,1855923.5183473
2015-04-21,1.429400023509382,54843511.69961277,2342032.88646752
2015-04-22,1.453293752368857,55800963.38788012,3293532.6779978364
2015-04-23,1.455136090188168,55912445.97715256,1632843.3457622228
2015-04-24,1.421607676707588,54660820.85583746,2169614.705212067
2015-04-25,1.397656941088031,53780656.67529527,1546178.2414424017
2015-04-26,1.327593170823318,51124091.58663221,3322035.3535782443
2015-04-27,1.389586823309503,53549818.17481396,2172303.212209564
2015-04-28,1.367450670855393,52734236.39560297,1828187.5522141692
2015-04-29,1.375323848373487,53081042.02642464,1602330.4468827266
2015-04-30,1.445167997502319,55819619.684199065,4379495.593336971
2015-05-01,1.412102338790159,54583268.24177028,2137523.935160787
2015-05-02,1.424087823658114,55086214.86913855,1503573.1869638218
2015-05-03,1.430175608189599,55359672.215187885,3732693.745365809
2015-05-04,1.410584074439521,54642506.22593724,2911235.197263999
2015-05-05,1.408578042383509,54600716.29122413,1796700.8971653788
2015-05-06,1.391190751378561,53928958.56565237,1457257.8469419642
2015-05-07,1.451759648146775,56276887.86358906,3286311.7980883704
2015-05-08,1.473776310289461,57130355.05295208,3473083.459532219
2015-05-09,1.447424873218528,56108852.030066445,4054495.206405275
2015-05-10,1.433999405015547,55588419.07166329,4034596.219211864
2015-05-11,1.435504008283333,55646744.42151612,1983036.4219838376
2015-05-12,1.441778661798469,55889978.880267575,2494227.9449937926
2015-05-13,1.450931550884948,56244787.00116086,2298687.633937107
2015-05-14,1.446303536517328,56065383.85689376,1642719.9427861194
2015-05-15,1.45225418277801,56296058.302733175,1258739.0467582757
2015-05-16,1.444803417903457,56007232.35287402,1296196.680613634
2015-05-17,1.452459582355002,56304020.53599704,940319.4660839476
2015-05-18,1.441225602455935,55868539.75386575,1758007.6594334503
2015-05-19,1.450075537517206,56211603.98194163,1286116.044962386
2015-05-20,1.456946847747343,56477967.60197404,1092034.4608742362
2015-05-21,1.476906264793979,57251686.49985774,1960084.0186083212
2015-05-22,1.831349527985551,71892013.80085729,20598528.700470693
2015-05-23,1.817902179593037,71413294.85832486,16958280.395400364
2015-05-24,1.823744043155067,71695033.11948816,8515556.975131275
2015-05-25,1.795624058087403,70640665.65848081,5083343.096878937
2015-05-26,1.81045916005964,71275159.20760258,3409439.9505222505
2015-05-27,1.841906565202887,72566152.88889396,6321496.655545079
2015-05-28,1.832061555922477,72229125.77356768,4670439.029195828
2015-05-29,1.831432430425884,72252855.426298,6271619.404329014
2015-05-30,1.805725336713136,71291668.669139,3824485.700936999
2015-05-31,1.630107408555837,64406854.3183976,7571770.170101711
2015-06-01,1.615765895464887,63889490.46540932,6153569.244683649
2015-06-02,1.668208994001003,66011620.438603565,5080340.69512152
2015-06-03,1.687614125992664,66786070.076021686,4201215.600427912
2015-06-04,1.664187617991353,65858983.49804477,3016354.383265702
2015-06-05,1.750971936108338,69293408.14642315,5452895.641821647
2015-06-06,1.755144425088256,69458531.28512661,4936448.441798163
2015-06-07,1.73666661831195,68727285.86639816,4004271.6453727633
2015-06-08,1.786805073045615,70711477.80919573,6069320.2334452905
2015-06-09,1.799134616826827,71199410.30649753,3350017.4834145373
2015-06-10,1.761385178971135,69705504.46443915,3569347.989004058
2015-06-11,1.800056553983394,71235895.28170355,4045646.456792199
2015-06-12,1.804624841115783,71416681.83702564,3454009.317182852
2015-06-13,1.860759245701738,73638159.02224898,5866148.8112848215
2015-06-14,1.992527459180545,78852787.77158552,16209233.52283003
2015-06-15,2.011375175587223,79598672.08798335,9269862.882270534
2015-06-16,2.852474769059214,112884561.03934067,60988450.81860038
2015-06-17,2.862483179010189,113280636.3968767,89115468.35031937
2015-06-18,3.093112995396637,122407639.33052737,55108512.775157005
2015-06-19,2.799160366225415,110774683.3197376,43882939.430164
2015-06-20,3.021990996378888,119593039.2764112,48284756.43608839
2015-06-21,3.014652514491934,120942896.76337752,32624202.29288874
2015-06-22,3.022886953381855,121362877.49592252,22007170.07710687
2015-06-23,2.967830881424983,119232914.31566036,15164094.076128408
2015-06-24,2.796707091220501,112439382.42367564,20174228.83801869
2015-06-25,2.841323146491919,114323631.55369876,29016667.614599604
2015-06-26,2.855561946032484,114977357.06398083,17439910.618448727
2015-06-27,3.096188800459363,124756450.62550455,38660062.7434862
2015-06-28,3.062496211307101,123496090.71980707,24605761.713653747
2015-06-29,3.690842737409115,148936222.6617672,85948916.08831885
2015-06-30,4.105024447387247,165755977.57625794,118731329.28096338
2015-07-01,3.92389924772369,158562626.15152505,58193150.239854015
2015-07-02,4.090834754348069,165428873.91094515,60707441.78280098
2015-07-03,4.140077401433409,167547499.96922916,35970461.62885897
2015-07-04,4.138585146765948,167611680.3520748,35060009.970809124
2015-07-05,4.787464693933963,194038596.300584,75798980.22120227
2015-07-06,5.416643889050118,219701264.46400395,184497987.882399
2015-07-07,5.274178133651955,214088405.062286,118087398.73819824
2015-07-08,6.29924425354581,255860208.5897993,189354409.05787155
2015-07-09,7.659154642303609,311287606.1441751,350891235.13237965
2015-07-10,4.431278048161501,180251779.5818848,147567732.16459787
2015-07-11,4.321748862196003,175917452.98501307,156131570.69374323
2015-07-12,5.248006786817273,213776265.4513321,155221533.30717272
2015-07-13,4.714340668537871,192176580.4548076,131835600.4557074
2015-07-14,4.592658240538808,187244302.2677844,77983545.5934492
2015-07-15,4.156555447471008,169630291.40414786,54010795.46123263
2015-07-16,3.580150492419221,146256927.2823452,135092295.1516384
2015-07-17,3.770527836759453,154143129.47989938,90761436.99223626
2015-07-18,3.963221059571945,162033534.6187415,83270248.54777065
2015-07-19,3.663719700348157,149788629.99982294,46660038.35028417
2015-07-20,3.878997022649952,158881988.01506993,54223224.4386518
2015-07-21,3.785559717463818,155172591.28825542,53754867.910789095
2015-07-22,3.822070277721756,156785183.08312693,51170650.9374747
2015-07-23,3.79140364912865,155636968.14058512,33353705.49892015
2015-07-24,4.606149257321866,189156401.7701352,188698202.8973695
2015-07-25,4.643625527564781,190695404.5325069,146205016.19737506
2015-07-26,4.638918971327427,190502124.8116704,106214015.7790505
2015-07-27,4.663155478493783,191497422.6691544,77698763.12195654
2015-07-28,5.068781725159825,208154894.45231688,146387205.42772022
2015-07-29,4.820408608469628,197955189.13993025,116948365.20192207
2015-07-30,4.570138382876321,187677577.039502,92274303.26208872
2015-07-31,4.618411767121701,189659974.7333258,94742128.11219352
2015-08-01,4.189885720626422,172062098.39638788,124893706.17556012
2015-08-02,4.176356021468388,171506486.9589821,129054088.93353042
2015-08-03,4.28604394255346,176010937.70753694,133624217.90813452
2015-08-04,4.376517433481521,179726327.51439816,111456041.95917325
2015-08-05,4.33934751443786,178199905.38875604,69576446.74801613
2015-08-06,4.047700991088645,166223131.76210576,75728835.63260007
2015-08-07,4.184885758594421,171856769.655584,90332808.82132944
2015-08-08,3.914907504034201,160769826.45511875,78223489.04753569
2015-08-09,3.897454846251654,160053114.56346118,89934616.34842154
2015-08-10,3.935052207417095,163585668.6859411,66828854.18219805
2015-08-11,4.12332470083251,171532616.61646488,71940987.10963537
2015-08-12,4.059463983761971,168990248.9354718,67356497.07685739
2015-08-13,3.88800691052803,161967797.16091895,50795341.78197451
2015-08-14,4.015571114897535,167389523.6373264,69993265.02510457
2015-08-15,3.909203339931613,163067374.45293874,40462394.57031956
2015-08-16,3.947401154054798,164767721.56518206,46201603.77536751
2015-08-17,3.9686026934771,165767383.61175737,58220775.95261877
2015-08-18,3.93116318769362,164282955.8090295,40455499.76504551
2015-08-19,3.480103035056727,145568916.64411467,82446355.96792302
2015-08-20,3.595481371448519,150500054.74904296,51554335.60414176
2015-08-21,3.575323487375965,149762828.46009055,34287198.12037537
2015-08-22,3.501180479178117,146752715.0326514,48832273.19462956
2015-08-23,3.387891366072019,142102596.31027994,43174830.94356927
2015-08-24,3.004264092557158,126093500.40340368,98881001.16385238
2015-08-25,2.967751471052782,124641955.96617952,182006611.74314737
2015-08-26,3.006503799588125,126307388.62845956,133965808.23260422
2015-08-27,2.873488857697861,120756817.56076944,46074210.36039711
2015-08-28,2.938384928908267,123524075.40416469,100443639.515391
2015-08-29,2.882133595003807,121198429.95833792,50215357.62197062
2015-08-30,2.830127147910554,119048477.73998456,45319667.64518238
2015-08-31,2.837674970637619,119406837.23370714,44968718.13012963
2015-09-01,2.818002461636051,118623982.70271726,35839530.2910392
2015-09-02,2.799495143106944,117890127.86535656,40966930.18279262
2015-09-03,2.643084854819458,111339315.16890451,43520708.8801352
2015-09-04,2.706798582433063,114064925.35150246,47424284.89197922
2015-09-05,2.934806250031845,123715466.1553424,80497282.09294441
2015-09-06,3.066316221641811,129305895.80864751,119662047.2780176
2015-09-07,3.045729570093247,128483447.08252606,64307221.91788482
2015-09-08,3.058310618791899,129061579.7315445,77382582.09349038
2015-09-09,2.936833150855364,123981965.03147171,60136551.06740191
2015-09-10,2.941814134135359,124236370.47963852,41716260.07949535
2015-09-11,2.961338829330096,125103195.09438214,33802094.492452726
2015-09-12,2.847320170230112,120323650.2528794,31433677.582651258
2015-09-13,2.809793288573743,118778630.52030736,33815921.02954849
2015-09-14,2.845463307075895,120330972.60857348,29625649.84926372
2015-09-15,2.817139542539814,119175735.95109122,20743727.40339472
2015-09-16,2.799408816443167,118467789.78582408,21456905.44746697
2015-09-17,2.920190098786118,123623648.8629224,40700591.651736245
2015-09-18,2.957907590420023,125262387.59046017,63828589.66301151
2015-09-19,2.862012824080014,121242476.18214144,40467503.26554881
2015-09-20,2.830781515856902,119960551.99204835,35026408.80553166
2015-09-21,2.796950673386334,118564794.80359164,42193347.39476892
2015-09-22,2.832153640539683,120089573.41842815,54046806.20946499
2015-09-23,2.850870812839896,120931687.69272624,42026630.258360654
2015-09-24,2.927896024770552,124240978.44346207,51033697.61571176
2015-09-25,2.892434315130187,122777140.69183692,41737715.80024576
2015-09-26,2.873625013156248,122019606.68238942,19467295.022436105
2015-09-27,2.862001779815767,121566201.56933884,12366678.19856818
2015-09-28,3.06227799660536,130120356.77383712,86508281.13832681
2015-09-29,2.990896512694065,127132722.07062104,126391693.7287894
2015-09-30,3.003103306783007,127696487.2904067,50143622.535363846
2015-10-01,3.002874114269465,127726304.5451057,44526334.47410858
2015-10-02,2.982174621850227,126889919.78543136,30571340.67512025
2015-10-03,3.025906845714649,128793064.99130164,27374781.95287969
2015-10-04,2.991740741289941,127386032.0824586,34660955.05823547
2015-10-05,2.996875754868471,127649480.3248823,28582948.76873397
2015-10-06,3.153070631723593,134348193.32986158,55107265.83534596
2015-10-07,3.051334545622514,130032804.74177615,60482739.78708826
2015-10-08,3.062078801619288,130490671.85573404,32324781.294531744
2015-10-09,3.113961054956894,132701637.19465134,43062865.71499568
2015-10-10,3.126016867906168,133351378.12058736,38436145.64988284
2015-10-11,3.158034297673065,134717195.5693443,29779264.417725835
2015-10-12,3.141303043660439,134003464.36617143,52462204.8646961
2015-10-13,3.185734217192148,135898834.24814427,66990975.26015381
2015-10-14,3.134298723574552,133900250.3978795,84955573.98107925
2015-10-15,3.089727096541687,132044152.95862477,51543000.66242573
2015-10-16,3.083241875983856,131811087.6242294,52354531.971451685
2015-10-17,3.056955850186959,130730900.35059632,68327046.70528257
2015-10-18,3.016396986392849,129039758.81358875,33502410.304952785
2015-10-19,3.052740822365736,130637800.1833986,24903869.22021378
2015-10-20,3.096481116226709,132555588.00474642,23008528.02274047
2015-10-21,3.087198929491778,132207858.60798316,28259367.24377458
2015-10-22,3.112835568139126,133349626.71852964,7452238.127763669
2015-10-23,3.117533808602801,133597344.18064344,18555701.19881011
2015-10-24,3.113331002195288,133461370.53611696,11383198.730841031
2015-10-25,3.062528031842949,131328353.00838,29799376.65655562
2015-10-26,3.10894881795133,133361655.03176934,19870241.00356148
2015-10-27,3.10306165873646,133156518.3636959,19283130.638287622
2015-10-28,3.089641442540109,132625902.21785508,17781579.140112426
2015-10-29,3.873849116730783,166342635.5797714,142643961.14305937
2015-10-30,3.967890205208579,170439077.09029934,359640362.07583493
2015-10-31,3.626956961183454,155842850.95592818,208274105.0957733
2015-11-01,3.824595485513962,164391383.00626868,154388319.3415894
2015-11-02,4.129534815906506,177557340.059769,185374294.2185256
2015-11-03,4.528494909254127,194782385.41873315,390926288.148678
2015-11-04,4.045417018528692,174060378.0727459,378909815.09341687
2015-11-05,3.835268595714429,165075463.96998388,287969240.91341686
2015-11-06,3.499838789001299,150689968.85732508,226966476.0974755
2015-11-07,3.550050432320385,152901683.8844122,106717983.4926377
2015-11-08,3.392944406230203,146185382.96631297,63490792.365877934
2015-11-09,3.379622079455386,145661829.9112999,124765013.77184856
2015-11-10,3.145911759200828,135628624.06442717,122226954.75631385
2015-11-11,2.941417980747683,126854268.52808706,73656497.49606267
2015-11-12,3.303653326529951,142521702.32636443,82249609.31930554
2015-11-13,3.23020849458235,139399760.64099863,59476979.48050008
2015-11-14,3.190978759647077,137748043.45729464,28922107.990018666
2015-11-15,3.082256212628863,133100253.23205584,34126461.41565653
2015-11-16,3.209037296121461,138603166.46580306,28295861.36527689
2015-11-17,3.21181220443916,138783481.3109046,32232694.96991639
2015-11-18,3.216830581837872,139047292.8059542,21587723.98452677
2015-11-19,3.12992774726062,135334898.91488573,28301982.294042323
2015-11-20,3.120178446741277,134956251.50961205,26332567.35140283
2015-11-21,3.142489404159261,135962585.1740731,21016227.40929444
2015-11-22,3.140076350547028,135893822.1405661,13643762.074675636
2015-11-23,3.13339627359334,135653451.19247764,13473309.26469273
2015-11-24,3.11195304152797,134769459.28780824,14728764.857574193
2015-11-25,3.308810401822105,143335714.40879652,74193040.11893724
2015-11-26,3.648712163309351,158099920.3547689,326563800.59259635
2015-11-27,3.574922590285041,154953536.08303013,129454014.63856252
2015-11-28,3.494779267784044,151533401.89046374,26399920.400116693
2015-11-29,3.661371024647626,158816489.9873062,92133459.26668166
2015-11-30,3.619735702651245,157074304.31784976,276293954.9130959
2015-12-01,3.437035457336574,149200282.83326587,170569261.16050088
2015-12-02,3.331577024117735,144684176.76628324,205471131.9920812
2015-12-03,3.374362953347148,146594676.86180937,164594089.157688
2015-12-04,3.357686865795139,145916206.89413103,120331435.4919444
2015-12-05,3.530172122505449,153464560.35430872,199976410.6255325
2015-12-06,3.477725071988891,151232039.48525244,291675450.98555064
2015-12-07,3.620737149254945,157498300.42595488,305649146.5412917
2015-12-08,3.691534668456606,160630430.96246597,231609208.097579
2015-12-09,3.653236998501743,159019141.24332845,323413586.6967773
2015-12-10,3.633663444752086,158222097.17685243,203144651.62647057
2015-12-11,3.816127919220123,166227517.42017236,299309352.0062718
2015-12-12,3.587035288576375,156294965.19537818,337894410.1971191
2015-12-13,3.597335210483459,156802481.79551035,196873710.05547297
2015-12-14,3.582357072612309,156201551.26068524,174888472.06917506
2015-12-15,3.808972950770624,166135059.04025412,348029996.2164861
2015-12-16,3.669535429814042,160103335.31231287,271681896.5766874
2015-12-17,3.729009376517404,162752931.20389912,147303796.2964532
2015-12-18,3.755614858773105,163970745.63241118,68694346.24539995
2015-12-19,3.735729638330568,163159897.1762031,42025124.77661492
2015-12-20,3.509846097413502,153342490.96373138,65563005.1550968
2015-12-21,3.43218657446777,149999801.544419,104619897.36957416
2015-12-22,3.384526383968553,147962727.58377066,53503591.84289518
2015-12-23,3.573623355776172,156276639.91775513,209649813.58485365
2015-12-24,3.621015446440763,158407241.0648061,221148509.19938532
2015-12-25,3.609307498902122,157952626.21184152,137153275.05475917
2015-12-26,3.447139890225034,150907028.6587308,332814730.76773286
2015-12-27,3.504427375742383,153463465.58362117,180771965.3094893
2015-12-28,3.453175759691721,151268729.5786912,147058914.33959818
2015-12-29,3.486770411913636,152787176.22438893,173641740.3193387
2015-12-30,3.460536164480091,151686840.97727093,60180132.66009209
2015-12-31,3.474657705224049,152353698.61330646,111953845.53987
2016-01-01,3.51180802704664,154033993.05319256,166080826.96676338
2016-01-02,3.505097895598328,153786292.847803,94517885.93027748
2016-01-03,3.485512042217686,152978548.42344728,91423126.83608876
2016-01-04,3.499486366041875,153646047.73978746,75826336.93613066
2016-01-05,3.470098698870814,152406870.1882554,77578079.51184197
2016-01-06,3.460808584054559,152048368.69324026,66182660.70789134
2016-01-07,3.602216418635095,158261029.70762795,255301668.86720344
2016-01-08,3.57524583183934,157178772.04662365,160611930.5627715
2016-01-09,3.574666914264184,157205421.82475498,112311676.06037097
2016-01-10,3.542201828151219,155830384.76897907,104130940.8522771
2016-01-11,3.562569578016886,156778170.42312884,90154100.88251564
2016-01-12,3.528738254736544,155346872.18917954,86718499.60431142
2016-01-13,3.47699945238134,153118877.9801622,150198857.35844457
2016-01-14,3.457352021737252,152301718.91051167,65857080.29643931
2016-01-15,3.022672698056644,133158936.8924238,137889037.76963043
2016-01-16,3.076525662228192,135613118.90041524,278616687.63988644
2016-01-17,3.021824090310678,133201875.9624588,115304403.70683958
2016-01-18,3.032892622353447,133778157.9028652,103099666.81345084
2016-01-19,2.997791074797039,132273028.493225,64862107.86788631
2016-01-20,3.394206921379566,149812140.6246689,198538742.69049013
2016-01-21,3.204920453165095,141501237.7479645,207621181.59508783
2016-01-22,3.0373131329848,134145282.36132547,170126811.06580874
2016-01-23,3.103000425158532,137060453.47337905,145037687.17887586
2016-01-24,3.182076878261821,140628858.2975931,111090592.85919608
2016-01-25,3.121840534271113,138007588.48490882,94373030.332534
2016-01-26,3.142222324415742,138947101.0122667,109549694.45658123
2016-01-27,3.259243927608179,144121722.93289107,181487557.362552
2016-01-28,3.091543671888253,136811853.56659484,157949038.3284087
2016-01-29,3.082687519249576,136459010.23360652,156280017.56000534
2016-01-30,3.057558025013415,135385147.0407492,84681074.79717508
2016-01-31,3.00080801923021,132907881.73570342,82767239.42418596
2016-02-01,3.049440835813605,135109968.05707294,106505065.61209875
2016-02-02,3.052214977653535,135281792.24261886,84680472.4873388
2016-02-03,3.03331590074296,134492595.16556242,73877557.29810534
2016-02-04,3.138894590803533,139218051.47791883,152040516.89569518
2016-02-05,3.107969500643405,137891587.41605702,88351011.79114774
2016-02-06,3.060439833319988,135828740.60551137,76524415.00503893
2016-02-07,3.068582787950824,136236400.90147504,72755291.11072479
2016-02-08,3.038387215209238,134940163.28797483,69365177.85808602
2016-02-09,3.057424475521792,135827834.22928008,65228292.41793376
2016-02-10,3.07219673666265,136524192.56238177,82524890.7834525
2016-02-11,3.043598498843224,135296174.03312668,77117621.36184427
2016-02-12,3.082826449888386,137084278.04199705,55167425.266407564
2016-02-13,3.119394536724505,138753791.50743723,78801126.1383179
2016-02-14,3.164551289903895,140807899.5155588,128936422.04323237
2016-02-15,3.129759119025511,139303625.41813523,133923930.40838656
2016-02-16,3.185770979042315,141847571.04747272,86992915.00270236
2016-02-17,3.216795076604489,143275814.66912827,105575329.47220051
2016-02-18,3.233381956943006,144059537.10117817,132093102.70335336
2016-02-19,3.226626529226613,143801471.08298513,117718359.0768224
2016-02-20,3.464854082928307,154466923.19993716,252881060.67819765
2016-02-21,3.440115120445824,153415979.37166315,322812265.62634546
2016-02-22,3.483668765464253,155408470.22056922,167143226.0123183
2016-02-23,3.385604457715083,151082009.83035994,218897586.07337004
2016-02-24,3.347567856242101,149435432.45021525,151307340.78098547
2016-02-25,3.350800772687568,149627666.29462323,159982409.44149286
2016-02-26,3.402568924492748,151987313.1493808,161338947.55479997
2016-02-27,3.404544838755,152130302.13827166,173901475.03116992
2016-02-28,3.430583884689378,153344015.55070287,192199704.75190333
2016-02-29,3.416368879162309,152755592.65502134,235412127.6985348
2016-03-01,3.394874075342612,151829890.25679243,127735173.02138524
2016-03-02,3.35552826292302,150124240.63353986,1003119.7596381864
2016-03-03,3.309445828026438,148110610.95235825,87700419.38764748
2016-03-04,3.232366584519497,144706913.72479388,132542220.12233968
2016-03-05,3.155638429760537,141318958.95560455,194487087.623316
2016-03-06,3.180206951962371,142465801.14178407,150960949.14642972
2016-03-07,3.249448709440738,145618279.3915761,127540644.87180012
2016-03-08,3.229011266520559,144745518.9435401,98686996.0437666
2016-03-09,3.257021547572631,146047780.76957113,88431840.36594349
2016-03-10,3.277369265852238,147008613.92142585,75978446.43978956
2016-03-11,3.355414026129206,150550803.7651299,165769142.1971098
2016-03-12,3.274254794666905,146954206.5484263,159303467.3715759
2016-03-13,3.290279957103871,147722468.66938853,138039165.49422508
2016-03-14,3.301228838266016,148260996.47226813,126363309.401542
2016-03-15,3.295268395967086,148041418.8548679,132237271.4504038
2016-03-16,3.300865631757716,148342555.22487327,74625323.69330306
2016-03-17,3.295110658375507,148133597.63101014,94910768.50017624
2016-03-18,3.172809028326713,142685746.4295267,199722032.1044912
2016-03-19,3.170760795527928,142643415.42427513,143698353.31699714
2016-03-20,3.204685366402622,144215090.90091383,113487564.14886329
2016-03-21,3.195877693091336,143869947.86296296,101659314.11884
2016-03-22,3.217672112932585,144898294.24905512,116968878.63656203
