date,prices,market_caps,total_volumes
2015-03-06,0.4856521005465752,3195626.759851905,76615.93695534782
2015-03-07,0.4642893868074573,3062423.5451506195,24403.651663638477
2015-03-08,0.4892977650625385,3228256.5006771223,40440.93832595852
2015-03-09,0.6662086469717031,4415634.243171683,118683.1232580059
2015-03-10,0.7921025046006618,5263185.291609447,200926.06637327644
2015-03-11,0.7145632986609696,4750839.116407635,94309.08980828506
2015-03-12,0.6792708044216887,4535331.532484576,66492.48252304328
2015-03-13,0.6457758586154783,4322265.647230168,59277.87421693328
2015-03-14,0.663494958960758,4451330.619101255,86732.43501632748
2015-03-15,0.6863490754596739,4615493.686790896,67660.43677015895
2015-03-16,0.7943291884452781,5354526.98821669,115175.57078860636
2015-03-17,0.7479342001167374,5053635.8198751705,60562.51542158633
2015-03-18,0.6342398914507031,4295437.232841746,50930.08445228224
2015-03-19,0.676779088507726,4594548.331120232,53712.39111900448
2015-03-20,0.6410333969532032,4361994.442876278,28389.34166827024
2015-03-21,0.7446128625805528,5078780.951803177,62423.54299248965
2015-03-22,0.7769692528461063,5311336.172470639,111852.6517281287
2015-03-23,0.7611203453025727,5215041.337462787,45526.97184984176
2015-03-24,0.7021737513173117,4822237.219766749,52742.22266906146
2015-03-25,0.7681914670486878,5287819.076728296,105716.60502885694
2015-03-26,0.7388226155499859,5097142.396437662,46006.05450906242
2015-03-27,0.7958941750565416,5503490.428178077,45551.73740479194
2015-03-28,0.803712310761532,5559910.575126086,76280.86872138592
2015-03-29,0.7178917233065273,4966222.030897492,58352.11953355417
2015-03-30,0.8906055515544424,6161019.506671151,115545.58624840008
2015-03-31,0.9042789711535308,6255609.31101927,208886.70325706183
2015-04-01,1.00217065758121,7009380.008913184,120823.2697283938
2015-04-02,0.9683841834028412,6787844.387889779,88018.53926335869
2015-04-03,0.9706534215075832,6819223.694192268,147796.5002991996
2015-04-04,0.8603654495153283,6057634.385618589,146977.3811771712
2015-04-05,0.8833018349262515,6232768.540435975,156771.7474784735
2015-04-06,0.7910696493856723,5594209.612769607,38107.11868137461
2015-04-07,0.7846324835229908,5554421.197184087,95401.72921136496
2015-04-08,0.7525677952733573,5345506.358885949,33039.48628372782
2015-04-09,0.7608238569343211,5415726.050560305,25571.50707160698
2015-04-10,0.8001880612898395,5706538.758524306,74453.71303686914
2015-04-11,0.8293319630075435,5914378.406192407,51053.45139990712
2015-04-12,0.8016330266150951,5716843.524406471,26269.22855044142
2015-04-13,0.6902703051421305,4956090.401188222,68519.02796633223
2015-04-14,0.6547878313447282,4711563.818135209,41425.63458897003
2015-04-15,0.6752399941546144,4869005.694570222,24873.759278393187
2015-04-16,0.6815750599753447,4924811.24533483,43594.12739946514
2015-04-17,0.6565116221089061,4753952.966386918,27396.850110546737
2015-04-18,0.6903814092877986,5009789.977093012,39242.17018990776
2015-04-19,0.6627067602930978,4818345.355596827,15209.57353951026
2015-04-20,0.6773316035452871,4935816.994775039,24849.294093824443
2015-04-21,0.6357453161347509,4642450.067164185,103435.4451103121
2015-04-22,0.5763420796294365,4217116.321305533,29156.82573332901
2015-04-23,0.6000132121662615,4399455.275091041,45643.883403332686
2015-04-24,0.5725273524050889,4206616.09542877,19053.031824618956
2015-04-25,0.559903086613877,4122593.302086134,79557.72597247675
2015-04-26,0.5512504919036232,4067180.1518131383,19864.15443603613
2015-04-27,0.5693455379872187,4209178.394485964,26213.69250081358
2015-04-28,0.4767831742002179,3531963.5065073166,94472.85545202743
2015-04-29,0.4967240323426476,3687106.990026557,31314.33105445493
2015-04-30,0.5017410094996393,3725354.243088444,29601.552570607837
2015-05-01,0.4971150588786323,3691007.2304903073,13472.757448814564
2015-05-02,0.4978900093155182,3696761.125116372,12415.036680780551
2015-05-03,0.497929360572861,3697053.3024962097,13510.408103425458
2015-05-04,0.470848700348708,3495983.3270276063,18859.840045091947
2015-05-05,0.4633767440266628,3440505.1347700874,22008.071005271333
2015-05-06,0.4616148330243514,3427423.201055021,29933.27279701732
2015-05-07,0.4731836616905312,3513320.076421249,29056.65172482872
2015-05-08,0.4866992625456565,3613671.453008431,13650.695099818047
2015-05-09,0.5178341783352611,3844843.6881834553,34371.85984213821
2015-05-10,0.5646870715856186,4192719.626897838,26470.438331904792
