date,prices,market_caps,total_volumes
2018-02-14,839.535,0.0,54776.5
2018-02-15,947.358,0.0,111096.0
2018-02-16,886.961,0.0,57731.7
2018-02-17,1046.95,0.0,33027.0
2018-02-18,902.619,0.0,56664.5
2018-02-19,911.824,0.0,70927.0
2018-02-20,942.094,0.0,54353.8
2018-02-21,900.44,0.0,60070.4
2018-02-22,800.297,0.0,331658.0
2018-02-23,800.834,0.0,328978.0
2018-02-24,849.723,0.0,168166.0
2018-02-25,841.38,0.0,110378.0
2018-02-26,867.769,0.0,40399.9
2018-02-27,867.062,0.0,83570.6
2018-02-28,887.968,0.0,69771.0
2018-03-01,855.604,0.0,190629.0
2018-03-02,863.288,0.0,87931.7
2018-03-03,855.938,0.0,237065.0
2018-03-04,859.373,0.0,35098.4
2018-03-05,863.354,0.0,57193.8
2018-03-06,843.432,0.0,255446.0
2018-03-07,813.638,0.0,765982.0
2018-03-08,791.244,0.0,459125.0
2018-03-09,735.843,0.0,456047.0
2018-03-10,731.688,0.0,479638.0
2018-03-11,706.786,0.0,171021.0
2018-03-12,764.095,0.0,34644.9
2018-03-13,711.436,0.0,39908.0
2018-03-14,711.252,0.0,140325.0
2018-03-15,606.399,0.0,791664.0
2018-03-16,598.073,0.0,187397.0
2018-03-17,603.341,0.0,235162.0
2018-03-18,560.216,0.0,115727.0
2018-03-19,530.753,0.0,2082200.0
2018-03-20,554.716,0.0,284607.0
2018-03-21,555.961,0.0,155602.0
2018-03-22,550.086,0.0,112601.0
2018-03-23,532.655,0.0,134257.0
2018-03-24,525.36,0.0,81421.1
2018-03-25,536.359,0.0,53383.9
2018-03-26,518.049,0.0,30096.1
2018-03-27,433.26,0.0,216062.0
2018-03-28,447.701,0.0,200398.0
2018-03-29,450.435,0.0,63604.4
2018-03-30,379.037,0.0,284690.0
2018-03-31,401.182,0.0,265677.0
2018-04-01,390.982,0.0,118826.0
2018-04-02,377.483,0.0,119027.0
2018-04-03,378.11,0.0,73877.6
2018-04-04,407.264,0.0,232950.0
2018-04-05,367.353,0.0,282664.0
2018-04-06,379.023,0.0,136153.0
2018-04-07,367.39,0.0,1839340.0
2018-04-08,387.417,0.0,1421670.0
2018-04-09,399.508,0.0,2174190.0
2018-04-10,395.174,0.0,2307290.0
2018-04-11,412.829,0.0,39035.9
2018-04-12,431.934,0.0,225275.0
2018-04-13,491.335,0.0,446075.0
2018-04-14,498.29,0.0,912787.0
2018-04-15,503.685,0.0,9501240.0
2018-04-16,529.766,0.0,7688160.0
2018-04-17,512.173,0.0,5239500.0
2018-04-18,502.358,0.0,6022500.0
2018-04-19,531.605,0.0,7610920.0
2018-04-20,565.101,0.0,12252600.0
2018-04-21,586.444,0.0,7925930.0
2018-04-22,597.39,0.0,7822970.0
2018-04-23,621.026,0.0,10596800.0
2018-04-24,638.75,0.0,458125.0
2018-04-25,711.146,0.0,1981240.0
2018-04-26,614.508,0.0,1662530.0
2018-04-27,657.383,0.0,2480990.0
2018-04-28,650.479,0.0,654314.0
2018-04-29,696.141,0.0,902445.0
2018-04-30,692.991,0.0,511170.0
2018-05-01,668.79,0.0,201838.0
2018-05-02,659.305,0.0,299669.0
2018-05-03,702.752,0.0,479683.0
2018-05-04,757.047,0.0,988444.0
2018-05-05,793.45,0.0,453015.0
2018-05-06,833.401,0.0,810363.0
2018-05-07,799.86,0.0,1287660.0
2018-05-08,754.335,0.0,612348.0
2018-05-09,761.23,0.0,430838.0
2018-05-10,731.618,0.0,303515.0
