,frm
0,3.1514499999999996
1,1.0072000000000003
2,3.1159
3,4.210749999999999
4,1.7109999999999999
5,2.2055499999999997
6,1.0072000000000003
7,2.2005999999999992
8,2.2658499999999995
9,0.6714999999999999
10,2.1106
11,0.6566499999999997
12,1.1665
13,0.5661999999999999
14,2.6163999999999996
15,2.7054999999999993
16,1.0661500000000002
17,2.2005999999999997
18,2.6204499999999995
19,0.5711499999999999
20,2.6159499999999998
21,1.7514999999999996
22,3.1154499999999996
23,4.161250000000001
24,1.01125
25,2.5520499999999995
26,4.1104
27,4.161250000000001
28,0.76555
29,3.255850000000001
30,0.6116499999999998
31,2.0755
32,2.6209
33,3.6604
34,1.207
35,1.1620000000000001
36,1.01125
37,2.61685
38,0.05229999999999998
39,3.651400000000001
40,2.017
41,0.6660999999999999
42,2.6163999999999996
43,0.61615
44,3.2158
45,2.7014499999999995
46,2.0755
47,2.61685
48,1.1620000000000001
49,3.21175
