,bitcoin,dogecoin,stellar,ripple,litecoin,tether,ethereum,bitcoin-cash,binancecoin,cardano,tron,chainlink,weth,usd-coin
2020-01-31 00:00:00+00:00,0.001,0.01,1.0,10.0,1.0,0.1,0.001,1.0,0.01,1.0,0.001,0.001,0.001,0.1
2020-02-29 00:00:00+00:00,1.0,0.001,0.001,0.001,0.01,0.01,0.001,1.0,1.0,0.01,0.001,0.01,0.001,0.1
2020-03-31 00:00:00+00:00,10.0,0.1,10.0,0.01,10.0,0.01,0.01,0.01,10.0,0.001,0.1,0.01,0.001,0.1
2020-04-30 00:00:00+00:00,10.0,0.01,0.01,0.01,0.01,10.0,0.01,0.1,10.0,0.001,0.01,0.01,0.001,0.1
2020-05-31 00:00:00+00:00,0.01,0.01,0.01,0.01,0.01,1.0,0.001,0.01,0.01,0.001,0.01,1.0,0.001,10.0
2020-06-30 00:00:00+00:00,0.01,10.0,10.0,10.0,0.01,10.0,0.001,10.0,0.01,0.001,0.01,10.0,0.001,1.0
2020-07-31 00:00:00+00:00,0.01,10.0,0.01,0.01,0.01,10.0,0.001,0.01,0.01,0.01,0.01,0.01,0.001,10.0
2020-08-31 00:00:00+00:00,0.01,0.01,1.0,10.0,0.1,0.01,0.001,0.01,0.01,1.0,0.01,0.001,0.001,10.0
2020-09-30 00:00:00+00:00,0.01,10.0,0.01,0.01,0.001,10.0,0.001,1.0,0.01,0.1,0.01,0.01,0.01,10.0
2020-10-31 00:00:00+00:00,0.01,0.01,1.0,0.01,0.01,10.0,0.01,0.01,0.01,0.1,0.01,0.01,0.001,0.1
2020-11-30 00:00:00+00:00,0.01,0.1,0.01,0.1,0.001,10.0,0.001,0.01,10.0,0.1,0.1,1.0,0.001,0.1
2020-12-31 00:00:00+00:00,0.1,0.1,1.0,10.0,0.01,0.1,0.1,0.1,10.0,1.0,10.0,0.1,0.1,0.01
2021-01-31 00:00:00+00:00,0.01,0.1,10.0,0.1,0.1,0.1,10.0,0.01,0.1,1.0,0.01,10.0,10.0,0.1
2021-02-28 00:00:00+00:00,0.01,0.01,10.0,10.0,0.1,0.01,0.01,0.01,0.1,0.1,0.1,10.0,0.01,10.0
2021-03-31 00:00:00+00:00,1.0,1.0,10.0,0.01,10.0,0.01,1.0,10.0,0.1,1.0,0.01,0.1,1.0,10.0
2021-04-30 00:00:00+00:00,10.0,0.01,10.0,10.0,1.0,10.0,0.01,0.01,0.1,0.1,0.01,0.01,0.01,10.0
2021-05-31 00:00:00+00:00,1.0,0.01,10.0,10.0,0.1,10.0,0.1,0.01,0.01,0.1,10.0,1.0,0.1,10.0
2021-06-30 00:00:00+00:00,10.0,0.01,10.0,10.0,1.0,10.0,0.01,0.1,0.1,0.1,0.001,1.0,0.1,10.0
2021-07-31 00:00:00+00:00,10.0,1.0,10.0,0.001,1.0,10.0,0.001,10.0,10.0,0.1,0.001,0.1,0.1,10.0
2021-08-31 00:00:00+00:00,10.0,0.1,0.1,0.001,0.1,10.0,0.1,0.01,10.0,0.01,0.001,0.01,0.1,10.0
2021-09-30 00:00:00+00:00,10.0,1.0,0.1,0.01,10.0,0.1,1.0,1.0,10.0,10.0,0.01,10.0,1.0,10.0
