,AV,GXIG,VALMT,SGOB,SN,LOIM,OREP,VOPA,SOGN,AXFO,AAL,OMVV,AHT,STMMI,CGCBV,AKZO,IBE,MNDI,TEL,UMG
0,"{'indegree': 6, 'outdegree': 11, 'pagerank': 0.04257486739401142, 'eigenvector': 0.26279986534039534}","{'indegree': 11, 'outdegree': 0, 'pagerank': 0.06376106363845968, 'eigenvector': 0.19381518955036864}","{'indegree': 6, 'outdegree': 11, 'pagerank': 0.04257486739401142, 'eigenvector': 0.26279986534039534}","{'indegree': 11, 'outdegree': 0, 'pagerank': 0.06376106363845968, 'eigenvector': 0.19381518955036864}","{'indegree': 6, 'outdegree': 11, 'pagerank': 0.04257486739401142, 'eigenvector': 0.26279986534039534}","{'indegree': 0, 'outdegree': 14, 'pagerank': 0.03188864963384836, 'eigenvector': 0.22309615995499926}","{'indegree': 0, 'outdegree': 14, 'pagerank': 0.03188864963384836, 'eigenvector': 0.22309615995499926}","{'indegree': 11, 'outdegree': 0, 'pagerank': 0.06376106363845968, 'eigenvector': 0.19381518955036864}","{'indegree': 11, 'outdegree': 0, 'pagerank': 0.06376106363845968, 'eigenvector': 0.19381518955036864}","{'indegree': 9, 'outdegree': 9, 'pagerank': 0.05354696363436923, 'eigenvector': 0.2793728364633921}","{'indegree': 0, 'outdegree': 14, 'pagerank': 0.03188864963384836, 'eigenvector': 0.22309615995499926}","{'indegree': 11, 'outdegree': 0, 'pagerank': 0.06376106363845968, 'eigenvector': 0.19381518955036864}","{'indegree': 0, 'outdegree': 14, 'pagerank': 0.03188864963384836, 'eigenvector': 0.22309615995499926}","{'indegree': 11, 'outdegree': 0, 'pagerank': 0.06376106363845968, 'eigenvector': 0.19381518955036864}","{'indegree': 11, 'outdegree': 0, 'pagerank': 0.06376106363845968, 'eigenvector': 0.19381518955036864}","{'indegree': 9, 'outdegree': 9, 'pagerank': 0.05354696363436923, 'eigenvector': 0.2793728364633921}","{'indegree': 0, 'outdegree': 14, 'pagerank': 0.03188864963384836, 'eigenvector': 0.22309615995499926}","{'indegree': 11, 'outdegree': 0, 'pagerank': 0.06376106363845968, 'eigenvector': 0.19381518955036864}","{'indegree': 0, 'outdegree': 14, 'pagerank': 0.03188864963384836, 'eigenvector': 0.22309615995499926}","{'indegree': 11, 'outdegree': 0, 'pagerank': 0.06376106363845968, 'eigenvector': 0.19381518955036864}"
1,"{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 3, 'outdegree': 14, 'pagerank': 0.0448134201259998, 'eigenvector': 0.2999365871426616}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 2, 'outdegree': 17, 'pagerank': 0.04280279793653279, 'eigenvector': 0.34908435086282763}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 0, 'outdegree': 18, 'pagerank': 0.03913993007504202, 'eigenvector': 0.32264960694583283}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 0, 'outdegree': 18, 'pagerank': 0.03913993007504202, 'eigenvector': 0.32264960694583283}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 3, 'outdegree': 14, 'pagerank': 0.0448134201259998, 'eigenvector': 0.2999365871426616}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 3, 'outdegree': 14, 'pagerank': 0.0448134201259998, 'eigenvector': 0.2999365871426616}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}"
2,"{'indegree': 0, 'outdegree': 14, 'pagerank': 0.03033455428570328, 'eigenvector': 0.2152673227695495}","{'indegree': 12, 'outdegree': 0, 'pagerank': 0.06715975622796903, 'eigenvector': 0.1962221429025731}","{'indegree': 6, 'outdegree': 12, 'pagerank': 0.04044728758299949, 'eigenvector': 0.26712172221978275}","{'indegree': 12, 'outdegree': 0, 'pagerank': 0.06715975622796903, 'eigenvector': 0.1962221429025731}","{'indegree': 8, 'outdegree': 9, 'pagerank': 0.04675582672365912, 'eigenvector': 0.2519491480442292}","{'indegree': 0, 'outdegree': 14, 'pagerank': 0.03033455428570328, 'eigenvector': 0.2152673227695495}","{'indegree': 8, 'outdegree': 9, 'pagerank': 0.04675582672365912, 'eigenvector': 0.2519491480442292}","{'indegree': 8, 'outdegree': 9, 'pagerank': 0.04675582672365912, 'eigenvector': 0.2519491480442292}","{'indegree': 12, 'outdegree': 0, 'pagerank': 0.06715975622796903, 'eigenvector': 0.1962221429025731}","{'indegree': 0, 'outdegree': 14, 'pagerank': 0.03033455428570328, 'eigenvector': 0.2152673227695495}","{'indegree': 6, 'outdegree': 12, 'pagerank': 0.04044728758299949, 'eigenvector': 0.26712172221978275}","{'indegree': 12, 'outdegree': 0, 'pagerank': 0.06715975622796903, 'eigenvector': 0.1962221429025731}","{'indegree': 12, 'outdegree': 0, 'pagerank': 0.06715975622796903, 'eigenvector': 0.1962221429025731}","{'indegree': 12, 'outdegree': 0, 'pagerank': 0.06715975622796903, 'eigenvector': 0.1962221429025731}","{'indegree': 12, 'outdegree': 0, 'pagerank': 0.06715975622796903, 'eigenvector': 0.1962221429025731}","{'indegree': 0, 'outdegree': 14, 'pagerank': 0.03033455428570328, 'eigenvector': 0.2152673227695495}","{'indegree': 0, 'outdegree': 14, 'pagerank': 0.03033455428570328, 'eigenvector': 0.2152673227695495}","{'indegree': 12, 'outdegree': 0, 'pagerank': 0.06715975622796903, 'eigenvector': 0.1962221429025731}","{'indegree': 0, 'outdegree': 14, 'pagerank': 0.03033455428570328, 'eigenvector': 0.2152673227695495}","{'indegree': 11, 'outdegree': 8, 'pagerank': 0.059552569125051844, 'eigenvector': 0.2842387992509057}"
3,"{'indegree': 0, 'outdegree': 12, 'pagerank': 0.026244700009480586, 'eigenvector': 0.1950281156039311}","{'indegree': 15, 'outdegree': 0, 'pagerank': 0.08821184109283672, 'eigenvector': 0.2246225225568757}","{'indegree': 8, 'outdegree': 8, 'pagerank': 0.04011710613525617, 'eigenvector': 0.23658919156893948}","{'indegree': 8, 'outdegree': 8, 'pagerank': 0.04011710613525617, 'eigenvector': 0.23658919156893948}","{'indegree': 15, 'outdegree': 0, 'pagerank': 0.08821184109283672, 'eigenvector': 0.2246225225568757}","{'indegree': 0, 'outdegree': 12, 'pagerank': 0.026244700009480586, 'eigenvector': 0.1950281156039311}","{'indegree': 0, 'outdegree': 12, 'pagerank': 0.026244700009480586, 'eigenvector': 0.1950281156039311}","{'indegree': 12, 'outdegree': 6, 'pagerank': 0.05727335718874582, 'eigenvector': 0.26480400459970993}","{'indegree': 15, 'outdegree': 0, 'pagerank': 0.08821184109283672, 'eigenvector': 0.2246225225568757}","{'indegree': 8, 'outdegree': 8, 'pagerank': 0.04011710613525617, 'eigenvector': 0.23658919156893948}","{'indegree': 8, 'outdegree': 8, 'pagerank': 0.04011710613525617, 'eigenvector': 0.23658919156893948}","{'indegree': 14, 'outdegree': 5, 'pagerank': 0.07396805554145572, 'eigenvector': 0.2815950653326563}","{'indegree': 0, 'outdegree': 12, 'pagerank': 0.026244700009480586, 'eigenvector': 0.1950281156039311}","{'indegree': 15, 'outdegree': 0, 'pagerank': 0.08821184109283672, 'eigenvector': 0.2246225225568757}","{'indegree': 15, 'outdegree': 0, 'pagerank': 0.08821184109283672, 'eigenvector': 0.2246225225568757}","{'indegree': 0, 'outdegree': 12, 'pagerank': 0.026244700009480586, 'eigenvector': 0.1950281156039311}","{'indegree': 0, 'outdegree': 12, 'pagerank': 0.026244700009480586, 'eigenvector': 0.1950281156039311}","{'indegree': 0, 'outdegree': 12, 'pagerank': 0.026244700009480586, 'eigenvector': 0.1950281156039311}","{'indegree': 0, 'outdegree': 12, 'pagerank': 0.026244700009480586, 'eigenvector': 0.1950281156039311}","{'indegree': 12, 'outdegree': 6, 'pagerank': 0.05727335718874582, 'eigenvector': 0.26480400459970993}"
4,"{'indegree': 10, 'outdegree': 0, 'pagerank': 0.060136101186535895, 'eigenvector': 0.18240977101795963}","{'indegree': 10, 'outdegree': 0, 'pagerank': 0.060136101186535895, 'eigenvector': 0.18240977101795963}","{'indegree': 7, 'outdegree': 11, 'pagerank': 0.04710282373489281, 'eigenvector': 0.27285012746495696}","{'indegree': 10, 'outdegree': 0, 'pagerank': 0.060136101186535895, 'eigenvector': 0.18240977101795963}","{'indegree': 10, 'outdegree': 0, 'pagerank': 0.060136101186535895, 'eigenvector': 0.18240977101795963}","{'indegree': 10, 'outdegree': 0, 'pagerank': 0.060136101186535895, 'eigenvector': 0.18240977101795963}","{'indegree': 0, 'outdegree': 17, 'pagerank': 0.0330579200357491, 'eigenvector': 0.2569267350491694}","{'indegree': 10, 'outdegree': 0, 'pagerank': 0.060136101186535895, 'eigenvector': 0.18240977101795963}","{'indegree': 10, 'outdegree': 0, 'pagerank': 0.060136101186535895, 'eigenvector': 0.18240977101795963}","{'indegree': 3, 'outdegree': 13, 'pagerank': 0.037634230727885215, 'eigenvector': 0.24275940404148724}","{'indegree': 10, 'outdegree': 0, 'pagerank': 0.060136101186535895, 'eigenvector': 0.18240977101795963}","{'indegree': 3, 'outdegree': 13, 'pagerank': 0.037634230727885215, 'eigenvector': 0.24275940404148724}","{'indegree': 10, 'outdegree': 0, 'pagerank': 0.060136101186535895, 'eigenvector': 0.18240977101795963}","{'indegree': 3, 'outdegree': 13, 'pagerank': 0.037634230727885215, 'eigenvector': 0.24275940404148724}","{'indegree': 9, 'outdegree': 10, 'pagerank': 0.054722657646067464, 'eigenvector': 0.2908776645001785}","{'indegree': 7, 'outdegree': 11, 'pagerank': 0.04710282373489281, 'eigenvector': 0.27285012746495696}","{'indegree': 0, 'outdegree': 17, 'pagerank': 0.0330579200357491, 'eigenvector': 0.2569267350491694}","{'indegree': 3, 'outdegree': 13, 'pagerank': 0.037634230727885215, 'eigenvector': 0.24275940404148724}","{'indegree': 0, 'outdegree': 17, 'pagerank': 0.0330579200357491, 'eigenvector': 0.2569267350491694}","{'indegree': 10, 'outdegree': 0, 'pagerank': 0.060136101186535895, 'eigenvector': 0.18240977101795963}"
5,"{'indegree': 9, 'outdegree': 0, 'pagerank': 0.058325743472145676, 'eigenvector': 0.18294521351578594}","{'indegree': 9, 'outdegree': 0, 'pagerank': 0.058325743472145676, 'eigenvector': 0.18294521351578594}","{'indegree': 0, 'outdegree': 16, 'pagerank': 0.03476743692745169, 'eigenvector': 0.25824497488467435}","{'indegree': 9, 'outdegree': 0, 'pagerank': 0.058325743472145676, 'eigenvector': 0.18294521351578594}","{'indegree': 9, 'outdegree': 0, 'pagerank': 0.058325743472145676, 'eigenvector': 0.18294521351578594}","{'indegree': 9, 'outdegree': 0, 'pagerank': 0.058325743472145676, 'eigenvector': 0.18294521351578594}","{'indegree': 0, 'outdegree': 16, 'pagerank': 0.03476743692745169, 'eigenvector': 0.25824497488467435}","{'indegree': 9, 'outdegree': 0, 'pagerank': 0.058325743472145676, 'eigenvector': 0.18294521351578594}","{'indegree': 9, 'outdegree': 0, 'pagerank': 0.058325743472145676, 'eigenvector': 0.18294521351578594}","{'indegree': 4, 'outdegree': 12, 'pagerank': 0.04159195237104293, 'eigenvector': 0.25824497488467435}","{'indegree': 9, 'outdegree': 0, 'pagerank': 0.058325743472145676, 'eigenvector': 0.18294521351578594}","{'indegree': 4, 'outdegree': 12, 'pagerank': 0.04159195237104293, 'eigenvector': 0.25824497488467435}","{'indegree': 9, 'outdegree': 0, 'pagerank': 0.058325743472145676, 'eigenvector': 0.18294521351578594}","{'indegree': 4, 'outdegree': 12, 'pagerank': 0.04159195237104293, 'eigenvector': 0.25824497488467435}","{'indegree': 9, 'outdegree': 0, 'pagerank': 0.058325743472145676, 'eigenvector': 0.18294521351578594}","{'indegree': 8, 'outdegree': 11, 'pagerank': 0.05297926461241939, 'eigenvector': 0.31355669494177546}","{'indegree': 0, 'outdegree': 16, 'pagerank': 0.03476743692745169, 'eigenvector': 0.25824497488467435}","{'indegree': 4, 'outdegree': 12, 'pagerank': 0.04159195237104293, 'eigenvector': 0.25824497488467435}","{'indegree': 0, 'outdegree': 16, 'pagerank': 0.03476743692745169, 'eigenvector': 0.25824497488467435}","{'indegree': 9, 'outdegree': 0, 'pagerank': 0.058325743472145676, 'eigenvector': 0.18294521351578594}"
6,"{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 3, 'outdegree': 14, 'pagerank': 0.0448134201259998, 'eigenvector': 0.2999365871426616}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 2, 'outdegree': 17, 'pagerank': 0.04280279793653279, 'eigenvector': 0.34908435086282763}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 0, 'outdegree': 18, 'pagerank': 0.03913993007504202, 'eigenvector': 0.32264960694583283}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 0, 'outdegree': 18, 'pagerank': 0.03913993007504202, 'eigenvector': 0.32264960694583283}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 3, 'outdegree': 14, 'pagerank': 0.0448134201259998, 'eigenvector': 0.2999365871426616}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 3, 'outdegree': 14, 'pagerank': 0.0448134201259998, 'eigenvector': 0.2999365871426616}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}","{'indegree': 6, 'outdegree': 0, 'pagerank': 0.053176934395384554, 'eigenvector': 0.16904114235841164}"
7,"{'indegree': 4, 'outdegree': 12, 'pagerank': 0.043549407914940365, 'eigenvector': 0.27386108711823065}","{'indegree': 4, 'outdegree': 12, 'pagerank': 0.043549407914940365, 'eigenvector': 0.27386108711823065}","{'indegree': 8, 'outdegree': 0, 'pagerank': 0.056681069677945124, 'eigenvector': 0.1825743774692401}","{'indegree': 8, 'outdegree': 0, 'pagerank': 0.056681069677945124, 'eigenvector': 0.1825743774692401}","{'indegree': 4, 'outdegree': 12, 'pagerank': 0.043549407914940365, 'eigenvector': 0.27386108711823065}","{'indegree': 8, 'outdegree': 0, 'pagerank': 0.056681069677945124, 'eigenvector': 0.1825743774692401}","{'indegree': 4, 'outdegree': 12, 'pagerank': 0.043549407914940365, 'eigenvector': 0.27386108711823065}","{'indegree': 8, 'outdegree': 0, 'pagerank': 0.056681069677945124, 'eigenvector': 0.1825743774692401}","{'indegree': 8, 'outdegree': 0, 'pagerank': 0.056681069677945124, 'eigenvector': 0.1825743774692401}","{'indegree': 8, 'outdegree': 0, 'pagerank': 0.056681069677945124, 'eigenvector': 0.1825743774692401}","{'indegree': 8, 'outdegree': 0, 'pagerank': 0.056681069677945124, 'eigenvector': 0.1825743774692401}","{'indegree': 8, 'outdegree': 0, 'pagerank': 0.056681069677945124, 'eigenvector': 0.1825743774692401}","{'indegree': 0, 'outdegree': 16, 'pagerank': 0.03640738305122429, 'eigenvector': 0.2738610871182307}","{'indegree': 0, 'outdegree': 16, 'pagerank': 0.03640738305122429, 'eigenvector': 0.2738610871182307}","{'indegree': 0, 'outdegree': 16, 'pagerank': 0.03640738305122429, 'eigenvector': 0.2738610871182307}","{'indegree': 0, 'outdegree': 16, 'pagerank': 0.03640738305122429, 'eigenvector': 0.2738610871182307}","{'indegree': 8, 'outdegree': 0, 'pagerank': 0.056681069677945124, 'eigenvector': 0.1825743774692401}","{'indegree': 8, 'outdegree': 0, 'pagerank': 0.056681069677945124, 'eigenvector': 0.1825743774692401}","{'indegree': 8, 'outdegree': 0, 'pagerank': 0.056681069677945124, 'eigenvector': 0.1825743774692401}","{'indegree': 8, 'outdegree': 0, 'pagerank': 0.056681069677945124, 'eigenvector': 0.1825743774692401}"
8,"{'indegree': 0, 'outdegree': 16, 'pagerank': 0.028954278126857066, 'eigenvector': 0.23253136440457056}","{'indegree': 13, 'outdegree': 0, 'pagerank': 0.07211543485038498, 'eigenvector': 0.20104465014025255}","{'indegree': 4, 'outdegree': 11, 'pagerank': 0.034682228003077034, 'eigenvector': 0.22099414312236038}","{'indegree': 4, 'outdegree': 11, 'pagerank': 0.034682228003077034, 'eigenvector': 0.22099414312236038}","{'indegree': 13, 'outdegree': 0, 'pagerank': 0.07211543485038498, 'eigenvector': 0.20104465014025255}","{'indegree': 9, 'outdegree': 8, 'pagerank': 0.04767291289816547, 'eigenvector': 0.24533951194857723}","{'indegree': 9, 'outdegree': 8, 'pagerank': 0.04767291289816547, 'eigenvector': 0.24533951194857723}","{'indegree': 9, 'outdegree': 8, 'pagerank': 0.04767291289816547, 'eigenvector': 0.24533951194857723}","{'indegree': 13, 'outdegree': 0, 'pagerank': 0.07211543485038498, 'eigenvector': 0.20104465014025255}","{'indegree': 4, 'outdegree': 11, 'pagerank': 0.034682228003077034, 'eigenvector': 0.22099414312236038}","{'indegree': 13, 'outdegree': 0, 'pagerank': 0.07211543485038498, 'eigenvector': 0.20104465014025255}","{'indegree': 4, 'outdegree': 11, 'pagerank': 0.034682228003077034, 'eigenvector': 0.22099414312236038}","{'indegree': 13, 'outdegree': 0, 'pagerank': 0.07211543485038498, 'eigenvector': 0.20104465014025255}","{'indegree': 13, 'outdegree': 0, 'pagerank': 0.07211543485038498, 'eigenvector': 0.20104465014025255}","{'indegree': 12, 'outdegree': 7, 'pagerank': 0.06294496482999577, 'eigenvector': 0.2757127381552218}","{'indegree': 0, 'outdegree': 16, 'pagerank': 0.028954278126857066, 'eigenvector': 0.23253136440457056}","{'indegree': 0, 'outdegree': 16, 'pagerank': 0.028954278126857066, 'eigenvector': 0.23253136440457056}","{'indegree': 4, 'outdegree': 11, 'pagerank': 0.034682228003077034, 'eigenvector': 0.22099414312236038}","{'indegree': 0, 'outdegree': 16, 'pagerank': 0.028954278126857066, 'eigenvector': 0.23253136440457056}","{'indegree': 13, 'outdegree': 0, 'pagerank': 0.07211543485038498, 'eigenvector': 0.20104465014025255}"
9,"{'indegree': 10, 'outdegree': 0, 'pagerank': 0.06032473332649143, 'eigenvector': 0.1824097710179596}","{'indegree': 4, 'outdegree': 12, 'pagerank': 0.03971743278462707, 'eigenvector': 0.24275940404148721}","{'indegree': 0, 'outdegree': 19, 'pagerank': 0.03313814585766624, 'eigenvector': 0.29087766450017855}","{'indegree': 10, 'outdegree': 0, 'pagerank': 0.06032473332649143, 'eigenvector': 0.1824097710179596}","{'indegree': 10, 'outdegree': 0, 'pagerank': 0.06032473332649143, 'eigenvector': 0.1824097710179596}","{'indegree': 10, 'outdegree': 0, 'pagerank': 0.06032473332649143, 'eigenvector': 0.1824097710179596}","{'indegree': 4, 'outdegree': 12, 'pagerank': 0.03971743278462707, 'eigenvector': 0.24275940404148721}","{'indegree': 10, 'outdegree': 0, 'pagerank': 0.06032473332649143, 'eigenvector': 0.1824097710179596}","{'indegree': 10, 'outdegree': 0, 'pagerank': 0.06032473332649143, 'eigenvector': 0.1824097710179596}","{'indegree': 1, 'outdegree': 16, 'pagerank': 0.03449688042739686, 'eigenvector': 0.2569267350491694}","{'indegree': 10, 'outdegree': 0, 'pagerank': 0.06032473332649143, 'eigenvector': 0.1824097710179596}","{'indegree': 1, 'outdegree': 16, 'pagerank': 0.03449688042739686, 'eigenvector': 0.2569267350491694}","{'indegree': 10, 'outdegree': 0, 'pagerank': 0.06032473332649143, 'eigenvector': 0.1824097710179596}","{'indegree': 4, 'outdegree': 12, 'pagerank': 0.03971743278462707, 'eigenvector': 0.24275940404148721}","{'indegree': 10, 'outdegree': 0, 'pagerank': 0.06032473332649143, 'eigenvector': 0.1824097710179596}","{'indegree': 4, 'outdegree': 12, 'pagerank': 0.03971743278462707, 'eigenvector': 0.24275940404148721}","{'indegree': 8, 'outdegree': 10, 'pagerank': 0.05062707422836027, 'eigenvector': 0.2728501274649569}","{'indegree': 1, 'outdegree': 16, 'pagerank': 0.03449688042739686, 'eigenvector': 0.2569267350491694}","{'indegree': 8, 'outdegree': 10, 'pagerank': 0.05062707422836027, 'eigenvector': 0.2728501274649569}","{'indegree': 10, 'outdegree': 0, 'pagerank': 0.06032473332649143, 'eigenvector': 0.1824097710179596}"
